player_name,position,team,blended_ppg,shrunk_ppg,total_games
Dorian Thompson-Robinson,QB,CLE,2.9285714285714284,4.818738231988851,13
Keelan Doss,WR,LAC,4.65,4.804621648116535,2
Lil'Jordan Humphrey,WR,DEN,4.775930735930736,4.7885988614398896,32
MarShawn Lloyd,RB,GB,2.8,4.781718726344342,1
Jake Haener,QB,NO,1.655,4.766042702597114,8
Tim Patrick,WR,JAX,4.745576923076922,4.765091971502532,28
Ray Davis,RB,BUF,4.697058823529412,4.75930077711026,34
Josh Reynolds,WR,NYJ,4.7176923076923085,4.741430003085978,29
JuJu Smith-Schuster,WR,KC,4.71903743315508,4.7373207350662305,39
Michael Mayer,TE,LV,4.904335664335664,4.734583205074552,37
Jared Wayne,WR,HOU,4.0,4.733853312133182,1
Keaton Mitchell,RB,BAL,4.637912087912088,4.7327307064766835,24
Nelson Agholor,WR,BAL,4.693653846153847,4.721512420668395,29
Devine Ozigbo,RB,DET,2.3,4.71029015491577,1
Nick Mullens,QB,JAX,2.763600000000001,4.705863044018927,13
Austin Hooper,TE,NE,4.837533936651584,4.704869602379982,46
Braelon Allen,RB,NYJ,4.582536764705882,4.7001964127123665,21
Jaret Patterson,RB,LAC,4.283333333333333,4.6976692570342,6
Julio Jones,WR,PHI,4.55,4.681212370352306,8
Jimmy Graham,TE,NO,5.6499999999999995,4.668888186482182,6
Tyquan Thornton,WR,KC,4.623611111111111,4.668620998797098,25
Jacardia Wright,RB,SEA,2.0,4.667433012058627,1
Jacoby Jones,WR,WAS,3.5,4.662424740704611,1
Jakobie Keeney-James,WR,GB,3.5,4.662424740704611,1
Cody Schrader,RB,LA,1.9000000000000004,4.653147297772913,1
Jahdae Walker,WR,CHI,4.45,4.653081098744357,6
Roman Wilson,WR,PIT,4.511111111111111,4.649131545662152,9
Jaydon Blue,RB,DAL,4.08,4.6429119167645805,5
Josh Oliver,TE,MIN,4.7874358974358975,4.633995033556149,37
Mike White,QB,BUF,0.9426666666666668,4.621789577155868,7
Max Brosmer,QB,MIN,0.8885714285714287,4.592661372027663,7
Ameer Abdullah,RB,IND,4.514192307692308,4.585929852457438,44
Nate Carter,RB,ATL,3.0000000000000004,4.584003885551299,2
Tommy Tremble,TE,CAR,4.687333333333333,4.556956338502598,40
Cooper Rush,QB,BAL,3.3971428571428572,4.538582191401563,23
Anthony Miller,WR,BAL,2.6,4.533853312133182,1
Xavier Restrepo,WR,TEN,3.55,4.529621648116534,2
James Robinson,RB,GB,1.0,4.524575869201485,1
Royce Freeman,RB,LA,4.2,4.521884181435905,11
Luke McCaffrey,WR,WAS,4.4274572649572645,4.519322607642575,22
Amar Johnson,RB,LAC,0.8,4.496004440630055,1
Kalif Raymond,WR,DET,4.435049019607843,4.485582600953547,44
Jaylen Wright,RB,MIA,4.313995726495727,4.484997752404157,22
Tahj Washington,WR,MIA,3.3499999999999996,4.4796216481165345,2
Tre Harris,WR,LAC,4.3375,4.478953326587831,16
Kenyan Drake,RB,BAL,2.55,4.471503885551299,2
Ja'Tavion Sanders,TE,CAR,4.6425,4.468913885993521,27
Quentin Skinner,WR,NYJ,2.0,4.448139026418897,1
Jamison Crowder,WR,WAS,4.3315,4.448091599441936,21
Kyle Philips,WR,TEN,4.1375,4.44549808463802,8
Kendric Pryor,WR,CIN,1.9,4.4338533121331825,1
John Metchie III,WR,NYJ,4.346148148148148,4.417312899218924,37
Kendall Milton,RB,CIN,0.2,4.41029015491577,1
Cam Akers,RB,MIN,4.244227272727273,4.4020050741832355,27
John Ross,WR,PHI,1.6,4.39099616927604,1
Dante Miller,RB,NYG,0.0,4.381718726344341,1
D.J. Williams,RB,TB,0.0,4.381718726344341,1
John Kelly,RB,BAL,0.0,4.381718726344341,1
Mohamed Ibrahim,RB,DET,0.0,4.381718726344341,1
Keilan Robinson,RB,JAX,0.0,4.381718726344341,1
Lew Nichols III,RB,PIT,0.0,4.381718726344341,1
Ulysses Bentley IV,RB,IND,0.0,4.381718726344341,1
Robert Woods,WR,HOU,4.2785714285714285,4.3804992113215375,28
Van Jefferson,WR,TEN,4.311666666666667,4.378339588808142,43
Shedrick Jackson,WR,LV,3.785714285714286,4.369594964863973,5
Sean Tucker,RB,TB,4.247254901960784,4.3679177315571955,37
Terrance Ferguson,TE,LA,4.736363636363636,4.3662740139874225,11
Jermar Jefferson,RB,DET,2.1,4.359003885551299,2
Odell Beckham Jr.,WR,MIA,4.2160714285714285,4.353233736196561,22
Jonathan Williams,RB,WAS,-0.20000000000000004,4.353147297772913,1
Devontez Walker,WR,BAL,4.074999999999999,4.350704304996016,11
David Sills,WR,ATL,4.091666666666667,4.3464985102740155,12
Mitchell Tinsley,WR,CIN,3.95,4.338355227495162,8
Leonard Fournette,RB,BUF,2.0,4.334003885551299,2
Kwamie Lassiter II,WR,CIN,1.2,4.333853312133183,1
Mike Strachan,WR,CAR,2.75,4.329621648116534,2
Noah Gray,TE,KC,4.392589285714285,4.311264718858524,46
Albert Okwuegbunam,TE,LV,6.142857142857143,4.301546565437558,2
Brandon Johnson,WR,PIT,3.9960000000000004,4.299586657937193,11
Dyami Brown,WR,JAX,4.175,4.260145274686089,42
Jonathon Brooks,RB,CAR,2.5,4.24133678715671,3
Damien Williams,RB,ARI,2.4999999999999996,4.24133678715671,3
Jaylin Noel,WR,HOU,4.023529411764706,4.240737964562273,17
Jase McClellan,RB,ATL,1.6,4.234003885551299,2
Zavier Scott,RB,MIN,3.7454545454545456,4.227766534377082,11
Jordan Watkins,WR,SF,2.3000000000000003,4.217121648116534,2
Marquez Valdes-Scantling,WR,PIT,4.113055555555556,4.214388279455532,38
Isaiah Davis,RB,NYJ,4.0271634615384615,4.213136327686451,29
Chris Moore,WR,WAS,4.058095238095238,4.212559810881071,25
Jordan Akins,TE,CLE,4.280192307692308,4.178635290310375,29
Andy Isabella,WR,BUF,0.0,4.162424740704611,1
Amari Rodgers,WR,IND,0.0,4.162424740704611,1
Dalevon Campbell,WR,CAR,0.0,4.162424740704611,1
Jeshaun Jones,WR,MIN,0.0,4.162424740704611,1
Damiere Byrd,WR,ATL,0.0,4.162424740704611,1
Stanley Morgan,WR,CIN,0.0,4.162424740704611,1
Juwann Winfree,WR,IND,0.0,4.162424740704611,1
Devon Allen,WR,PHI,0.0,4.162424740704611,1
Jalen Guyton,WR,LAC,3.5571428571428574,4.156690244994791,7
Tyrion Davis-Price,RB,PHI,1.2600000000000002,4.149003885551299,2
Damien Harris,RB,BUF,3.1666666666666665,4.139335923700866,6
Erick All,TE,CIN,4.4750000000000005,4.137618445556155,8
Jahan Dotson,WR,PHI,4.039425770308123,4.13366458882896,46
J.J. Taylor,RB,HOU,2.1333333333333333,4.119114564934487,3
Darnell Washington,TE,PIT,4.189038461538462,4.1138491482523465,34
Brashard Smith,RB,KC,3.7235294117647055,4.085740481930886,17
Israel Abanikanda,RB,NYJ,3.0500000000000003,4.081002590367532,6
Willie Snead,WR,SF,1.7,4.067121648116535,2
Malik Taylor,WR,NYJ,1.6500000000000004,4.054621648116535,2
Will Dissly,TE,LAC,4.1142115384615385,4.053292229104799,36
Xavier Hutchinson,WR,HOU,3.9353571428571428,4.050457774686089,42
Grant DuBose,WR,MIA,1.5499999999999998,4.029621648116534,2
Patrick Taylor,RB,SF,3.645194805194805,4.01189739907987,18
Trishton Jackson,WR,MIN,1.4500000000000002,4.004621648116535,2
Corey Kiner,RB,ARI,2.325,3.997203108441039,4
Isaiah Bond,WR,CLE,3.646666666666667,3.9922368183301087,15
Josh Williams,RB,TB,0.55,3.971503885551299,2
Darius Cooper,WR,PHI,3.0333333333333337,3.944747765411023,6
Jalen Royals,WR,KC,1.2,3.9421216481165344,2
Rashaad Penny,RB,PHI,1.5999999999999999,3.9413367871567098,3
Jackson Hawes,TE,BUF,4.053846153846154,3.9382451704097985,13
Bo Melton,WR,GB,3.7450000000000006,3.930193699581453,30
Kyle Williams,WR,NE,3.5142857142857147,3.9168486592466136,14
Isaiah Hodgins,WR,NYG,3.657380952380952,3.914262647761187,22
Owen Wright,RB,TB,0.30000000000000004,3.909003885551299,2
AJ Dillon,RB,PHI,3.5614285714285723,3.9060011512744595,21
Trey Palmer,WR,TB,3.7068235294117646,3.88829805595023,32
Jashaun Corbin,RB,NYG,1.4333333333333336,3.8857812316011544,3
Mike Woods,WR,CLE,2.7,3.8760884713574795,5
Clyde Edwards-Helaire,RB,KC,3.4846666666666666,3.8752279100430824,19
Michael Bandy,WR,DEN,2.678571428571429,3.86634821161722,5
Brock Wright,TE,DET,3.878989898989899,3.845246335573628,28
Troy Hairston,RB,HOU,0.0,3.834003885551299,2
Antoine Green,WR,DET,0.6,3.7921216481165345,2
Tyreik McAllister,WR,LV,0.55,3.779621648116535,2
Malik Heath,WR,GB,3.5031904761904764,3.773784820450124,24
Marvin Jones,WR,DET,2.125,3.763697318493228,4
Greg Dulcich,TE,MIA,3.792307692307692,3.762441601066741,15
Jamaal Williams,RB,NO,3.460769230769231,3.7609939489448374,27
Jeremy McNichols,RB,WAS,3.5078750000000003,3.7546642585746257,33
Anthony McFarland,RB,PIT,1.0333333333333334,3.752447898267821,3
Tank Bigsby,RB,JAX,3.564752747252747,3.7504230392706255,44
Luke Musgrave,TE,GB,3.7524375624375628,3.741951964144611,31
Devin Culp,TE,TB,3.7749999999999995,3.731388186482181,6
Ronnie Bell,WR,NO,3.363846153846154,3.722002004320368,19
Zamir White,RB,LV,3.376442307692308,3.701860346387825,26
Shane Zylstra,TE,DET,3.7249999999999996,3.700184248642908,3
Derrick Gore,RB,WAS,0.8666666666666668,3.6968923427122653,3
Matt Breida,RB,NYG,3.1266666666666665,3.6939062421147804,15
Lynn Bowden,WR,NO,2.8125,3.6883552274951628,8
Ollie Gordon II,RB,MIA,3.182352941176471,3.6857404819308863,17
Justin Watson,WR,HOU,3.4713333333333334,3.6843839278187764,33
Malik Davis,RB,DAL,2.9000000000000004,3.6807077108476705,11
Daniel Bellinger,TE,NYG,3.6762362637362638,3.6777749449666772,39
Equanimeous St. Brown,WR,CHI,2.2399999999999998,3.6669975622665705,5
Gerald Everett,TE,CHI,3.658666666666667,3.664300803369447,25
DJ Giddens,RB,IND,1.9200000000000004,3.661093734946399,5
Malik Cunningham,WR,DET,0.07142857142857144,3.6599787909736774,2
Robbie Chosen,WR,WAS,2.92,3.6460608240582673,10
Kaden Davis,WR,CLE,0.0,3.6421216481165346,2
Phillip Dorsett,WR,DEN,0.0,3.6421216481165346,2
Maurice Alexander,WR,DET,0.0,3.6421216481165346,2
Dominic Lovett,WR,DET,0.0,3.6421216481165346,2
Malik Turner,WR,SF,0.0,3.6421216481165346,2
Kearis Jackson,WR,TEN,0.0,3.6421216481165346,2
