vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
287,13,Carson Wentz,QB,MIN,10.886614131168542,-98.58726385058759
288,13,Bub Means,WR,NO,5.593697318493227,-99.26052832624273
289,13,Jameis Winston,QB,NYG,10.83616751585066,-99.4448563109916
290,13,Elijah Higgins,TE,ARI,3.4454588115754685,-99.46728573310212
291,13,Malik Washington,WR,MIA,5.533678698389039,-100.28084486801393
292,13,Latavius Murray,RB,BUF,5.408191956400495,-100.43494707038764
293,13,Will Levis,QB,TEN,10.768157944556528,-100.60101902299184
294,13,Greg Dortch,WR,ARI,5.480936902126699,-101.1774554044737
295,13,Pat Bryant,WR,DEN,5.470367009733278,-101.35714357516187
296,13,Hayden Hurst,TE,LAC,3.330028476897929,-101.42960142262028
297,13,Antonio Gibson,RB,NE,5.349678513950503,-101.4296755920375
298,13,Davis Allen,TE,LA,3.3218909156374283,-101.56793996404879
299,13,James Mitchell,TE,CAR,3.3155229666357604,-101.67619509707716
300,13,Ryan Flournoy,WR,DAL,5.444565772831076,-101.7957646024993
301,13,Keleki Latu,TE,BUF,3.291850915309575,-102.07861996962231
302,13,Brandin Cooks,WR,BUF,5.414283354726891,-102.31056571027045
303,13,Blake Corum,RB,LA,5.295703604388509,-102.3472490545914
304,13,Tyler Lockett,WR,LV,5.3956611836955535,-102.62714261780319
305,13,Sterling Shepard,WR,TB,5.394045149091793,-102.6546152060671
306,13,Tutu Atwell,WR,LA,5.390002698652911,-102.72333686352812
307,13,Lawrence Cager,TE,NYG,3.247878021616925,-102.82615916239735
308,13,Ty Johnson,RB,BUF,5.266656096560597,-102.84105668766591
309,13,Mac Jones,QB,SF,10.629797550717594,-102.95314571825371
310,13,Tyler Johnson,WR,NYJ,5.373108995626,-103.0105298149856
311,13,Cole Turner,TE,WAS,3.223332731270441,-103.24342909828759
312,13,Melvin Gordon,RB,BAL,5.237203108441038,-103.3417574856984
313,13,Elijah Moore,WR,BUF,5.3527300377579845,-103.35697209874186
314,13,Elijah Arroyo,TE,SEA,3.2119293809361142,-103.43728605397114
315,13,DeVante Parker,WR,NE,5.344051220259593,-103.50451199621452
316,13,Jalen Tolbert,WR,DAL,5.330562335049495,-103.73382304478618
317,13,Jalen Nailor,WR,MIN,5.317233683611452,-103.96041011923292
318,13,Nick Vannett,TE,TEN,3.1795609598834838,-103.98754921186587
319,13,Michael Gallup,WR,DAL,5.315316962951466,-103.99299437045266
320,13,Kevin Harris,RB,NE,5.197203108441039,-104.02175748569839
321,13,David Bell,WR,CLE,5.311338601836045,-104.06062650941483
322,13,Brycen Hopkins,TE,LA,3.1751507488896524,-104.06252279876098
323,13,Cade Stover,TE,HOU,3.1523073681199816,-104.4508602718454
324,13,Drew Sample,TE,CIN,3.1331345568235784,-104.77679806388424
325,13,Brevin Jordan,TE,HOU,3.1265921243214545,-104.88801941642035
326,13,Isaac TeSlaa,WR,DET,5.251848659246614,-105.07195553343516
327,13,KaVontae Turpin,WR,DAL,5.243516932618571,-105.21359488611188
328,13,Grant Calcaterra,TE,PHI,3.1072320678117022,-105.21714037708614
329,13,Spencer Rattler,QB,NO,10.495273927626734,-105.24004731079833
330,13,Emari Demercado,RB,ARI,5.108173567277836,-105.53525968547284
331,13,Allen Lazard,WR,NYJ,5.223395009930598,-105.55566757180743
332,13,Kevin Austin Jr.,WR,NO,5.221847272891172,-105.58197910147767
333,13,Raheim Sanders,RB,CLE,5.09720310844104,-105.72175748569838
334,13,DJ Chark,WR,LAC,5.205647692229322,-105.85737197272913
335,13,Ainias Smith,WR,PHI,5.204108131659142,-105.88354450242218
336,13,Hunter Renfrow,WR,CAR,5.200977252272383,-105.93676945199708
337,13,Kendre Miller,RB,NO,5.080242953796004,-106.01008011466399
338,13,Josh Whyle,TE,GB,3.060370136234801,-106.01379321389346
339,13,Jaleel McLaughlin,RB,DEN,5.074977507428006,-106.09959270291995
340,13,Tay Martin,WR,WAS,5.172858131659142,-106.41479450242218
341,13,Dallin Holker,TE,NO,3.0251842486429084,-106.61195330295564
342,13,Jeremy Ruckert,TE,NYJ,3.0140863885211147,-106.80061692502613
343,13,Emanuel Wilson,RB,GB,5.020745788803891,-107.0215319195299
344,13,Mo Alie-Cox,TE,IND,2.997713737332992,-107.07895199522422
345,13,Ben Sinnott,TE,WAS,2.977762964632416,-107.418115131134
346,13,Zaire Mitchell-Paden,TE,BAL,2.9668509153095752,-107.60361996962232
347,13,Luke Schoonmaker,TE,DAL,2.9561199383046644,-107.78604657870578
348,13,Stone Smartt,TE,NYJ,2.9491411587207934,-107.90468583163158
349,13,E.J. Jenkins,TE,PHI,2.939767581976242,-108.06403663628896
350,13,Curtis Samuel,WR,BUF,5.055166028212673,-108.41556026101216
351,13,Hunter Long,TE,JAX,2.918806589251707,-108.42037351260606
352,13,Adonai Mitchell,WR,IND,5.044749805530808,-108.59263604660386
353,13,Zay Jones,WR,ARI,5.030690364874035,-108.831646537769
