tier,vbd_rank,adp_rank,value_gap,sleeper_flag,overvalued,valuation_basis,name,position,team,shrunk_ppg,active,injury_status
11.0,48.0,61.0,13.0,False,False,VBD,Courtland Sutton,WR,DEN,12.466667560581657,True,
11.0,49.0,105.0,56.0,True,False,VBD,Tucker Kraft,TE,GB,10.309471023398048,True,Questionable
11.0,50.0,30.0,-20.0,False,True,VBD,DeVonta Smith,WR,PHI,12.42021676591281,True,
11.0,51.0,142.0,91.0,True,False,VBD,Keenan Allen,WR,LAC,12.3793595132526,True,
11.0,52.0,22.0,-30.0,False,True,VBD,Kenneth Walker III,RB,SEA,12.248774252914046,True,
11.0,53.0,118.0,65.0,True,False,VBD,Dallas Goedert,TE,PHI,10.22016065925239,True,
11.0,54.0,21.0,-33.0,False,True,VBD,Ashton Jeanty,RB,LV,12.077044829756971,True,Questionable
11.0,55.0,220.0,165.0,True,False,VBD,James Conner,RB,ARI,12.067158712747643,True,IR
11.0,56.0,36.0,-20.0,False,True,VBD,Javonte Williams,RB,DAL,11.94755297158821,True,
11.0,57.0,69.0,12.0,False,False,VBD,DK Metcalf,WR,PIT,12.02626871509485,True,Questionable
11.0,58.0,104.0,46.0,True,False,VBD,Jared Goff,QB,DET,17.19558943572561,True,
11.0,59.0,48.0,-11.0,False,False,VBD,Terry McLaurin,WR,WAS,11.901092404875117,True,
11.0,60.0,55.0,-5.0,False,False,VBD,David Montgomery,RB,DET,11.77501099012108,True,
11.0,61.0,47.0,-14.0,False,False,VBD,DJ Moore,WR,CHI,11.83854338920934,True,
11.0,62.0,77.0,15.0,False,False,VBD,Harold Fannin Jr.,TE,CLE,9.569393556263009,True,
11.0,63.0,62.0,-1.0,False,False,VBD,Rhamondre Stevenson,RB,NE,11.536621735331934,True,
11.0,64.0,,,False,False,VBD,David Njoku,TE,CLE,9.509428183090185,True,
11.0,65.0,81.0,16.0,True,False,VBD,Chris Godwin Jr.,WR,TB,11.614561475761027,True,
11.0,66.0,135.0,69.0,True,False,VBD,Baker Mayfield,QB,TB,16.860010488357187,True,
11.0,67.0,83.0,16.0,True,False,VBD,Kyle Pitts,TE,ATL,9.452397512943618,True,
11.0,68.0,58.0,-10.0,False,False,VBD,Joe Burrow,QB,CIN,16.792085241345934,True,
11.0,69.0,78.0,9.0,False,False,VBD,Matthew Stafford,QB,LA,16.784357476272454,True,
11.0,70.0,50.0,-20.0,False,True,VBD,Drake Maye,QB,NE,16.78052678756102,True,
11.0,71.0,40.0,-31.0,False,True,VBD,Ladd McConkey,WR,LAC,11.43255192591927,True,
11.0,72.0,117.0,45.0,True,False,VBD,Bo Nix,QB,DEN,16.68586494590899,True,
11.0,73.0,140.0,67.0,True,False,VBD,Jake Ferguson,TE,DAL,9.296475619405005,True,
11.0,74.0,70.0,-4.0,False,False,VBD,Tony Pollard,RB,TEN,11.316130019364474,True,
11.0,75.0,41.0,-34.0,False,True,VBD,Cam Skattebo,RB,NYG,11.312287934600745,True,
11.0,76.0,94.0,18.0,True,False,VBD,Trevor Lawrence,QB,JAX,16.652140952242632,True,
11.0,77.0,116.0,39.0,True,False,VBD,Deebo Samuel Sr.,WR,WAS,11.390303971505109,True,
11.0,78.0,107.0,29.0,True,False,VBD,Justin Herbert,QB,LAC,16.625325889474023,True,
11.0,79.0,79.0,0.0,False,False,VBD,Michael Pittman,WR,IND,11.34795432528754,True,Questionable
11.0,80.0,67.0,-13.0,False,False,VBD,Dak Prescott,QB,DAL,16.556185249041803,True,
11.0,81.0,68.0,-13.0,False,False,VBD,Tyler Warren,TE,IND,9.157680792947223,True,Questionable
11.0,82.0,138.0,56.0,True,False,VBD,Mark Andrews,TE,BAL,9.148114341226313,True,
11.0,83.0,188.0,105.0,True,False,VBD,Hunter Henry,TE,NE,9.121006697750673,True,
11.0,84.0,24.0,-60.0,False,True,VBD,Omarion Hampton,RB,LAC,11.09146873896069,True,
11.0,85.0,88.0,3.0,False,False,VBD,Jakobi Meyers,WR,JAX,11.1986934643059,True,Questionable
11.0,86.0,89.0,3.0,False,False,VBD,J.K. Dobbins,RB,DEN,11.07132411307009,True,
11.0,87.0,45.0,-42.0,False,True,VBD,Jameson Williams,WR,DET,11.186722208796686,True,
11.0,88.0,73.0,-15.0,False,False,VBD,Brian Thomas Jr.,WR,JAX,11.153968841473295,True,
11.0,89.0,110.0,21.0,True,False,VBD,Aaron Jones,RB,MIN,11.003887058759757,True,
11.0,90.0,63.0,-27.0,False,True,VBD,Jaylen Warren,RB,PIT,10.936020183480368,True,
11.0,91.0,227.0,136.0,True,False,VBD,Tank Dell,WR,HOU,11.051232439497744,True,IR
11.0,92.0,87.0,-5.0,False,False,VBD,Wan'Dale Robinson,WR,NYG,11.036900374884368,True,Questionable
11.0,93.0,75.0,-18.0,False,True,VBD,Jayden Daniels,QB,WAS,16.261828331239997,True,
